id_edar,nombre_edar,punto_vertido,volumen_anual_maximo_m3,zona_abaqua,latitud_vertido,latitud_edar,longitud_vertido,longitud_edar,geometry_pg
712,SANTA MARGALIDA,TORRENT,304144,ABAQUA / Mallorca 4,39.716769,39.716997,3.10199,3.101686,0101000020E61000004F4ED1BF40D0084063EDC38EC6DB4340
713,SANTA MARIA,TORRENT I REUTILITZACIÓ REG,253351,ABAQUA / Mallorca 5,39.641155999999995,39.641470999999996,2.786867,2.785932,0101000020E6100000C32056B796490640FF76C1B81BD24340
714,SANTA PONCA,EMISARI LITORAL I REUTILITZACIÓ REG,4904738,CALVIÀ 2000,39.5204,39.521707,2.45253,2.511565,0101000020E6100000E5700C64AF1704401C0B814BC7C24340
715,SANTANYI,POUS INFILTRACIO,207642,ABAQUA / Mallorca 1,39.33911,39.339548,3.14582,3.146001,0101000020E6100000BE549192022B0940381C0F4F76AB4340
716,SELVA,TORRENT,160410,ABAQUA / Mallorca 5,39.747799,39.7481,2.9173609999999996,2.9171,0101000020E6100000FBD0598638560740CF3EA3BDC1DF4340
717,SES SALINES,LLACUNA EVAPORACIÓ INFILTRACIO + TORRENT,64557,ABAQUA / Mallorca 1,39.33294,39.33497,3.05919,3.07367,0101000020E6100000D7E00B4CE096084006A3034CE0AA4340
718,SINEU,TORRENT I REUTILITZACIÓ REG,506051,ABAQUA / Mallorca 4,39.648337,39.650000999999996,3.085114,3.0840389999999998,0101000020E61000004F7EA9A31CAC0840FEC2943B33D34340
719,SOLLER,EMISARI LITORAL I REUTILITZACIÓ REG,1253985,ABAQUA / Mallorca 6,39.800019999999996,39.776917999999995,2.68714,2.701143,0101000020E6100000F6986EDCF09B054007EE8A0C72E34340
720,SON BOU,TORRENT I REUTILITZACIÓ REG,75000,PRIVADA,39.90117,39.902288999999996,4.08795,4.087707,0101000020E6100000B6282ADDCF5910402B1DB7347EF34340
721,SON PARC,TERRENY I REUTILITZACIÓ REG,63658,PRIVADA,40.023959999999995,40.030677999999995,4.1626,4.159364,0101000020E6100000F35BF95030A31040234EB541ED034440
722,SON SERRA DE MARINA,POUS INFILTRACIO,59441,ABAQUA / Mallorca 2,39.735,39.72125,3.2097599999999997,3.20714,0101000020E6100000D7D8320439A80940ABAB82EB51DC4340
723,SON SERVERA,EMISARI LITORAL I REUTILITZACIÓ REG,1587980,ABAQUA / Mallorca 2,39.609269,39.61195,3.396268,3.377592,0101000020E6100000A42247F44E050B4008BCA76054CE4340
724,VALLDEMOSSA,TORRENT I REUTILITZACIÓ REG,125801,ABAQUA / Mallorca 6,39.702439999999996,39.702449,2.62789,2.627183,0101000020E6100000D59D598578040540A59D4BD9E9D94340
725,VILAFRANCA DE BONANY,TORRENT I REUTILITZACIÓ REG,221784,ABAQUA / Mallorca 4,39.550509999999996,39.552105,3.11354,3.114449,0101000020E6100000B02DB63C64EA0840CC2D6960ABC64340
726,AEROPORT EIVISSA,TORRENT I REUTILITZACIÓ REG,36250,PRIVADA,38.86821,38.868032,1.35589,1.356009,0101000020E6100000110E5E5536B2F53F154E8FAF1B6F4340
727,APARTAMENTOS PUERTO CALA VEDELLA,TERRENY,14400,PRIVADA,38.91202,38.912124999999996,1.2299799999999999,1.230049,0101000020E61000003CAB825648AEF33F778F9280C0744340
