id_infiltracion_epoca_material,cod_masa,epoca,material,infiltracion_lluvia_porcentaje,area_m2
467,1819M2,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.2,6942726
468,1819M2,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.15,671648
469,1819M2,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.15,2065853
470,1819M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,871920
471,1819M2,Triàsic superior - Juràssic inferior,Dolomies triturades amb calcàries a sostre,0,7090689
472,1820M1,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.3,49038463
473,1820M2,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.35,40569006
474,1820M2,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0,13241
475,1820M2,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0,40178
476,1820M3,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.28,48624413
477,1821M1,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0.1,71399664
478,1821M1,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.15,32722
479,1821M1,Oligocè,"Conglomerats, calcàries i argiles",0.2,223732695
480,1821M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.05,7089
481,1821M2,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.15,3231
482,1821M2,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.15,101
