id_infiltracion_epoca_material,cod_masa,epoca,material,infiltracion_lluvia_porcentaje,area_m2
250,1812M1,Juràssic mitjà,Margocalcàries,0.15,343710
251,1812M1,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0,198668
252,1812M1,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.05,7085274
253,1812M1,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.2,16428268
254,1812M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,475877
255,1812M1,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,102930
256,1812M1,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,1382458
257,1812M1,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.15,917799
258,1812M2,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.05,2628012
259,1812M2,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0.1,3550468
260,1812M2,Juràssic Inferior,Dolomies massives i bretxes,0,7158919
261,1812M2,Juràssic mitjà,Margocalcàries,0.15,13961
262,1812M2,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0,3850
263,1812M2,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.1,3262
264,1812M2,Oligocè,"Conglomerats, calcàries i argiles",0,7162395
265,1812M2,Oligocè - Miocè inferior,Conglomerats i bretxes amb matriu carbonatada,0.25,24392312
266,1812M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.05,6236174
267,1812M2,Triàsic (Keuper),"Argiles, evaporites, margues, carnioles i roques bàsiques",0,4962005
268,1812M2,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0,29579
269,1812M2,Triàsic mitjà-superior (Muschelkalk),Calcàries micrítiques i dolomies laminades,0.15,22360
270,1812M3,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.22,3135625
271,1812M3,Eocè (Bartonià),"Calcàries bioclàstiques, margues i calcàries",0,19916
272,1812M3,Juràssic Inferior,Dolomies massives i bretxes,0.3,706285
273,1812M3,Juràssic mitjà,Margocalcàries,0,2388453
274,1812M3,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0,781437
275,1812M3,Miocè inferior (Burdigalià),"Margues, gresos i conglomerats",0.05,15843788
276,1812M3,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.15,23924393
277,1812M3,Oligocè,"Conglomerats, calcàries i argiles",0.15,307754
278,1812M3,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,1333210
279,1813M1,Cretaci inferior-mitjà,Margues pelàgiques blanques i calcàries,0.1,1597740
280,1813M1,Juràssic Inferior,Dolomies massives i bretxes,0.15,3850866
281,1813M1,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.1,1368979
282,1813M1,Oligocè,"Conglomerats, calcàries i argiles",0,260516
283,1813M1,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0,2898254
284,1813M1,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.35,8923632
285,1813M2,Juràssic Inferior,Dolomies massives i bretxes,0,7308244
286,1813M2,Juràssic mitjà-superior (Dogger-Malm),Margues amb intercalacions de calcàries detrítiques i oolítiques,0.1,3943807
287,1813M2,Miocè superior (Tortonià-Messinià),"Calcàries oolítiques, estromatolítiques i arrecifals, i calcarenites",0.15,7908659
288,1813M2,Oligocè,"Conglomerats, calcàries i argiles",0.3,23105680
289,1813M2,Quaternari,"Llims, argiles i graves. Eolianites a la costa",0.05,93288
290,1813M2,Triàsic (Retià),"Dolomies taulejades, margues i carnioles",0.22,746202
291,1814M1,Miocè mitjà (Serravalià),Llims i margues grises,0.05,12207
