modelo,cod_municipio,mae,mape,rmse,r2
naive,7001,0.005666666666666653,1.9709476914624602,0.005916079783099596,-0.0031847133757965107
naive,7003,1.0106666666666668,23.79909830454343,1.0145498180638217,-129.88533160021527
naive,7004,0.006999999999999997,3.4001645778612937,0.008346656017032604,-2.3709677419354906
naive,7005,0.3343333333333333,18.933490757136422,0.3433001602096917,-18.39609772153751
naive,7901,0.008666666666666675,12.803628914252277,0.008679477710861033,-338.0
naive,7006,0.03866666666666665,7.891315464371812,0.03884155849945603,-110.2950819672128
naive,7007,0.002333333333333333,6.471306471306469,0.0029999999999999988,-1.5312500000000022
naive,7008,0.003333333333333336,0.8971370871941087,0.003915780041490247,-0.029850746268656803
naive,7009,0.004999999999999995,4.7585616318036195,0.005972157622389633,-2.343749999999999
naive,7010,0.01966666666666665,1.7927451292095147,0.021299452262127917,-5.782392026578047
naive,7011,2.2566666666666673,21.400315313881546,2.274278933347154,-63.816168710195726
naive,7012,0.016333333333333328,9.2187397332282,0.016782927833565466,-17.917910447761273
naive,7013,0.04899999999999993,7.640860588415965,0.06865129277733958,-1.0384948096885767
naive,7014,0.46400000000000013,19.753799159984734,0.4694812740319541,-42.07739413680792
naive,7016,0.005333333333333338,2.42875363843106,0.005944184833375674,-4.129032258064515
naive,7017,0.0026666666666666644,6.238464377999256,0.0027080128015453176,-32.000000000000334
naive,7018,0.013000000000000003,12.500000000000004,0.019209372712298545,-0.8450000000000004
naive,7019,0.0009999999999999998,4.782608695652172,0.001290994448735805,-0.07142857142857095
naive,7020,0.045333333333333316,14.101876795375242,0.052230259428802384,-0.032985526758667616
naive,7021,0.003333333333333334,14.391363022941972,0.003366501646120693,-0.1860465116279073
naive,7022,0.17,12.168187568245799,0.19021216224696746,-3.969416720080577
naive,7025,0.0013333333333333346,3.865546218487398,0.0014142135623730963,-8.0
naive,7027,0.2790000000000001,14.284324871121443,0.32955070424240746,-2.5303723127600586
naive,7028,0.003333333333333329,5.484782212502271,0.003559026084010434,-7.142857142857112
naive,7029,0.005333333333333338,1.9108309205954144,0.005715476066494088,-6.736842105263159
naive,7030,0.011333333333333334,9.454001971571218,0.011633285577743431,-18.64516129032261
naive,7031,0.4039999999999999,12.71463407481079,0.4133481180151503,-21.36148678125812
naive,7033,0.7833333333333332,20.057035041589323,0.7971436507932556,-28.11262357337032
naive,7034,0.0036666666666666605,4.370527514265248,0.0038729833462074095,-8.642857142857185
naive,7035,0.010999999999999996,10.119233051476039,0.011387127235025812,-13.961538461538426
naive,7036,0.017666666666666792,0.7080864069238236,0.018303005217723257,-0.059381588193959
naive,7038,0.0050000000000000044,4.635610345261954,0.0050662280511902255,-37.5
naive,7039,0.49033333333333345,29.91666196517704,0.4951609166052319,-50.53577934513529
naive,7040,1.7936666666666667,5.987948834411456,2.338455401898155,-1.330850946839937
naive,7041,0.03233333333333333,21.816450638722205,0.03286842456421258,-29.964968152866312
naive,7042,0.2826666666666666,15.835386157459173,0.2852799794354077,-53.83320856415629
naive,7043,0.00366666666666667,1.7165005537098574,0.004932882862316252,-1.2346938775510208
naive,7045,0.0020000000000000018,1.8127719045150255,0.0021602468994692888,-6.0
naive,7044,0.09866666666666668,11.990341590631893,0.11017864281853057,-0.3596585110884345
naive,7049,0.02466666666666667,26.98227157607637,0.02808320969310073,-3.3760789149198533
naive,7051,0.6196666666666665,27.8809266162694,0.6216309194369275,-157.48637440758213
naive,7053,0.0036666666666666605,3.6532015718908872,0.0038729833462074134,-0.007462686567163868
naive,7055,0.35466666666666663,23.081160848447702,0.35656602941577775,-93.11531501891741
naive,7056,0.05566666666666668,15.946039794905879,0.055919585120063266,-109.79921259842601
naive,7057,0.5553333333333335,17.29603053134305,0.5674798087450631,-22.612559473375484
naive,7058,0.011333333333333334,4.934900376708909,0.01465150731722394,-1.4896907216494863
naive,7047,0.11866666666666668,37.361750239684625,0.14539371834207052,-1.9952769293743509
naive,7059,0.10299999999999998,16.12032525070148,0.10416173321650644,-44.081717451523446
naive,7060,0.022000000000000002,9.288160863805366,0.022464787260658994,-23.419354838709765
naive,7061,0.13866666666666672,14.47427775467928,0.14060583202698249,-35.505949938449014
naive,7062,0.24466666666666667,17.29411665745296,0.24895782775401942,-28.26038606798148
naive,7063,0.0023333333333333353,1.038419111688243,0.002645751311064593,-0.6578947368421055
naive,7065,0.0076666666666666645,4.396995829886821,0.008962886439832495,-2.726804123711348
naive,7002,0.09233333333333323,7.806984715706018,0.09465903725124886,-19.60373019928446
naive,7015,0.46366666666666684,13.569665042061729,0.4937728897647853,-7.458373165165909
naive,7064,0.045000000000000005,11.039720910981552,0.0460832579866774,-20.523648648648724
naive,7037,0.10166666666666657,8.725786566486871,0.10983168941612426,-5.985394415133178
naive,7902,0.03933333333333335,11.185431918229066,0.053204009873943414,-1.2053324099722995
naive,7023,0.00366666666666667,1.440071326723333,0.004434711565216695,-2.160714285714286
naive,7032,0.048666666666666636,2.5755501304413357,0.05139390365922136,-8.679153094462622
naive,7052,0.13633333333333342,10.658467754409546,0.1389736185995986,-25.57031488841331
naive,7026,0.747,18.25825450059929,0.7514969505371707,-82.80703403244927
naive,7046,0.4776666666666665,21.290819525666183,0.4980886801899168,-11.450128804184157
naive,7050,0.08966666666666666,18.84884590178463,0.09491224016602565,-8.303993573559785
naive,7048,0.6690000000000002,17.989214993979918,0.6906661036033742,-15.192846474155875
naive,7054,0.1516666666666664,3.5985856957362166,0.17002254752434035,-3.8955479452054753
naive,7024,0.18766666666666673,23.5703682816767,0.21058410829563254,-3.8587933091475763
media,7001,0.025378787878787834,8.732888279841317,0.026057086619294127,-18.460974101173935
media,7003,1.0183484848484854,23.980324766498583,1.0222024549057922,-131.86728544659195
media,7004,0.03509090909090908,17.24494618520863,0.03538415701261106,-59.5825113303121
media,7005,0.7436515151515152,42.35056638849546,0.7477257506662228,-91.01338887255058
media,7901,0.017712121212121217,26.17194774789156,0.01771839326956868,-1411.7365702479324
media,7006,0.04707575757575746,9.608721898466854,0.047219514047552855,-163.48477509822408
media,7007,0.010015151515151519,26.918636918636924,0.010191114533111544,-28.21029183884304
media,7008,0.05918752108147705,16.02361871195226,0.05931316498602296,-235.28704377561613
media,7009,0.008590909090909071,8.248391701881301,0.009190777207338385,-6.9190986570247714
media,7010,0.3552429873274467,32.478061006058056,0.355337120118652,-1886.674784730819
media,7011,0.8952575757575753,8.447122567934347,0.9387685280054678,-10.043657832423149
media,7012,0.022271192424242404,12.58777930547341,0.022602984335846475,-33.31383662670681
media,7013,0.16132850000000004,26.572545974171668,0.16834157214499934,-11.257303162737873
media,7014,0.2213663739477633,9.375106896269935,0.2326364936579118,-9.577147527318775
media,7016,0.020969696969696982,9.59147424201188,0.02113331682178185,-63.83151159690745
media,7017,0.007803030303030291,18.27829792946069,0.007817256816315503,-273.99276859504374
media,7018,0.011836067982081968,12.011926335130402,0.014838336557327471,-0.10088115894260419
media,7019,0.00115151515151515,5.372499700562935,0.0012530953410991104,-0.009445100354190883
media,7020,0.05445147746486204,18.54558655081616,0.05445777171593028,-0.12297375052084303
media,7021,0.006893939393939401,32.08624708624712,0.0075552601492513225,-4.973693061695187
media,7022,0.07172727272727249,4.914849964065009,0.11146958472856709,-0.7066388132349408
media,7025,0.004803030303030306,14.010695187165787,0.004826108402641784,-103.81095041322311
media,7027,0.48107365454545453,25.337853732080863,0.5120493411424195,-7.523140422299306
media,7028,0.007924242424242419,13.09725190671062,0.00802179366187631,-40.367325855962086
media,7029,0.029787878787878818,10.697373205763531,0.029858666160824783,-210.15419747716402
media,7030,0.014742424242424237,12.31214584873121,0.014974243267441154,-31.549220207944565
media,7031,0.22185498267826542,6.948005678591157,0.2384539788006066,-6.441798273166389
media,7033,1.0591999170211084,27.171097181250058,1.0694537638937047,-51.40010882579964
media,7034,0.025696969696969708,30.455588588118726,0.025727219188294233,-424.50059031877595
media,7035,0.02168181818181819,20.01706821216168,0.021880765670700113,-54.24245073108705
media,7036,0.09226319848484839,3.6935420161349786,0.09396126870618955,-26.91935353193601
media,7038,0.01213636363636364,11.23229999269612,0.012163798295792163,-220.9369834710741
media,7039,0.45922910606060613,28.007828274926155,0.4643801539781593,-44.32767403145901
media,7040,1.3049351393939392,4.551119492716089,1.5321848867375416,-0.0006418610980503114
media,7041,0.044606060606060594,30.16014958241588,0.04499543900975342,-57.02963625835671
media,7042,0.41678269331464146,23.37064890306846,0.41855947685941686,-117.0362570010075
media,7043,0.043893939393939395,20.81639010354885,0.04401780099468525,-176.93980856805499
media,7045,0.03010874301028532,27.367582658480337,0.030119811957017125,-1359.8046084891052
media,7044,0.6165151515151513,80.18742092192369,0.6237140003799596,-42.57184942168095
media,7049,0.01217314393939394,11.894851745619315,0.013449336708499349,-0.003675660349749199
media,7051,0.23774242424242362,10.766291600699603,0.24281614960065315,-23.181422829109483
media,7053,0.009336019696969677,9.07839851838424,0.010101987560430603,-5.854114731640696
media,7055,0.1637575757575759,10.626109401284493,0.16783155992508414,-19.85103574288399
media,7056,0.04120814439393936,11.798271686590901,0.04154916830231356,-60.169293226479965
media,7057,0.3948005703332802,12.257435946950054,0.4117107146501115,-11.428724931722524
media,7058,0.02532703653333329,11.239700323660394,0.0269755630484893,-7.439599247483503
media,7047,0.09063233966706674,32.588924666486456,0.1012768783676156,-0.45333692539121584
media,7059,0.1202727272727272,18.83349144109417,0.12126910403019593,-60.10607586822628
media,7060,0.05449999999999997,23.064491573741456,0.05468927378075763,-143.72177419354878
media,7061,0.1810940666666666,18.92113318113898,0.18258317703837515,-60.55714994600748
media,7062,0.1406547311495913,10.10772906669028,0.14799316071016944,-9.339791258543535
media,7063,0.010385064640133048,4.635032196289831,0.010586396450254637,-25.543318637307213
media,7065,0.05180543939393937,30.127479202503473,0.05201306668861855,-124.50635029480523
media,7002,0.05546969696969691,4.677546602715799,0.059260241062612073,-7.075111276747537
media,7015,0.4857121212121209,14.227378545915235,0.5145300317583678,-8.184463974926766
media,7064,0.021409090909090895,5.282516600012574,0.02360118302586514,-4.64543081304446
media,7037,0.11434848484848503,9.830293226269603,0.12166538076229039,-7.571752920106674
media,7902,0.07015151515151515,20.857175760092325,0.07877049341986386,-3.8340647249376136
media,7023,0.058833333333333356,22.94456120373902,0.05888618966560272,-556.2901785714281
media,7032,0.07696969696969669,4.053677810087544,0.07872244368981327,-21.709693918755285
media,7052,0.10287878787878801,8.032035108110037,0.10635287435841849,-14.560746707226802
media,7026,0.9372272727272729,22.917981595090698,0.9408154055979678,-130.35144846811423
media,7046,0.4699848484848486,20.941524543780723,0.4907266517056263,-11.084809025481658
media,7050,0.09003030303030295,18.927120465660398,0.09525585381461024,-8.371482576721776
media,7048,0.9149090909090912,24.682609479732097,0.9308691160924647,-28.414681971172012
media,7054,0.16998484848484807,4.037318275799661,0.18654687776348772,-4.893377209652104
media,7024,0.2684393939393939,34.41998128403014,0.2849326185389065,-7.895319982066935
ets,7001,0.010050237726732211,3.4327102082796443,0.011661308185204628,-2.897691010550614
ets,7003,1.0422130315425375,24.54260142499949,1.0461041499157488,-138.15348035037155
ets,7004,0.016466910162380388,8.064176167474198,0.017127653890587367,-13.194670699794532
ets,7005,0.19129894661738822,10.83311056057516,0.19678235468818578,-5.372922796504457
ets,7901,0.00783956516807586,11.58681029829806,0.00784593339587805,-276.01401883649464
ets,7006,0.06786786223286619,13.854919621352026,0.0679754792658559,-339.8687871541408
ets,7007,0.0015700925425528843,4.346068721762608,0.0019808032099074726,-0.10350725648180581
ets,7008,0.029765488346043645,8.08140990075404,0.031658636104016494,-66.31659074402098
ets,7009,0.004063832028450148,3.8474498083078594,0.005239968469962329,-1.574119021831193
ets,7010,0.02952289155300236,2.6918356214695445,0.03164965945198205,-13.975595499730746
ets,7011,1.662347782532209,15.735007953727544,1.6939443294563339,-34.95788722626142
ets,7012,0.014990777534850055,8.456313416250909,0.01549308656814771,-15.121802855769268
ets,7013,0.03479616276646306,5.310386811681982,0.05550183444546151,-0.33237613616410555
ets,7014,0.34943975997201737,14.842937320762855,0.3583830711445232,-24.10197244618514
ets,7016,0.0035396368582215156,1.634581537989968,0.00431503644708086,-1.702836384785897
ets,7017,0.0027844815816864474,6.514527211734215,0.002829144919854435,-35.01827439892214
ets,7018,0.011139888747079515,10.317478447355361,0.018342926768211653,-0.6823148121198779
ets,7019,0.0010580281879190578,5.093455204244271,0.001372844724616354,-0.2115945529401846
ets,7020,0.04485451898894519,13.854546844045048,0.05264781912581258,-0.04956814743935145
ets,7021,0.003760846714271756,15.259913098638798,0.004193393532185585,-0.8402435330463145
ets,7022,0.22991410319369301,16.519822755381735,0.2512678831961971,-7.671671430166338
ets,7025,0.003990346248582311,11.579725887891215,0.004167550105281527,-77.15813246014416
ets,7027,0.24784635880304093,12.641066995690373,0.2974998372596477,-1.8770637516096431
ets,7028,0.0011660463905698072,1.89737979953075,0.0015807970647306257,-0.6064481599106155
ets,7029,0.001345165510205341,0.48252131047947233,0.001393876135472392,0.5398416808064468
ets,7030,0.013807468741029469,11.52928809522017,0.014044612232500956,-27.633228949223255
ets,7031,0.39839016702478736,12.53723144524486,0.4078172115113603,-20.767063694908977
ets,7033,0.7715792284717676,19.76701297194354,0.7831841171466891,-27.101914316477966
ets,7034,0.006219190421779898,7.36911324899346,0.00624021815143182,-24.03306451408109
ets,7035,0.009071695968099683,8.335434319984408,0.009509703768953213,-9.434746050758784
ets,7036,0.018268877722417958,0.7339089892298818,0.01951379672090776,-0.204179326136386
ets,7038,0.00348861855055962,3.2362538123266957,0.0035880498534443988,-18.311152626203523
ets,7039,0.31365308247755674,19.082923112469885,0.3204146073678958,-20.579468577058854
ets,7040,1.9918357972523115,6.676350344622128,2.5058062511404384,-1.6764016906413843
ets,7041,0.030918072666794274,20.841066548497125,0.03157026979026542,-27.567316597679394
ets,7042,0.1889055756761857,10.577736853618617,0.19135446867991418,-23.670519101209035
ets,7043,0.0038148942235752084,1.824509049498434,0.0048884175994990476,-1.194588159630897
ets,7045,0.002769293065433836,2.510410074179677,0.002971328638010692,-12.243190812593687
ets,7044,0.13641638997754987,16.042387099080862,0.16399141489188818,-2.0121544344300304
ets,7049,0.020173531508590244,22.48493982969429,0.02472757069590513,-2.392771129894497
ets,7051,1.3204625207234728,59.2775790310403,1.3434170044697629,-739.1988348107238
ets,7053,0.005355168391140863,5.145967931808907,0.0065744800762789195,-1.9030902571678867
ets,7055,0.1422340766839858,9.222067050302481,0.1468795736413917,-14.96993604027741
ets,7056,0.014639065168819151,4.2104543176122045,0.0148492025220618,-6.812950156971939
ets,7057,0.5962704216358649,18.574634097504646,0.6086731209849362,-26.16504850653298
ets,7058,0.01911335051893982,8.439536682110667,0.021264024952117377,-4.244109297008296
ets,7047,0.12525266976590763,39.77066308729113,0.1521633841595543,-2.2806961697470465
ets,7059,0.08322439872556135,13.016686918564824,0.08453197105428288,-28.691083643997672
ets,7060,0.023489636936885144,9.929151198628983,0.023732351099234435,-26.25279784019368
ets,7061,0.11465130300293291,11.95828962911799,0.11690565496607556,-24.23643608277067
ets,7062,0.4596024744123664,32.40872818813841,0.4756032329079655,-105.78692385504473
ets,7063,0.004156475553493568,1.8505374013139702,0.004583602528662206,-3.9759134017586
ets,7065,0.0069306400936680335,4.088408787081898,0.008419471786361219,-2.288595600268018
ets,7002,0.1068593448231887,9.040374099797228,0.10884438506350534,-26.241671292456054
ets,7015,0.44973519448444294,13.153315224194492,0.4808778763917805,-7.02235640506513
ets,7064,0.03022883367564196,7.435596414322958,0.03185596976692977,-9.285163612752166
ets,7037,0.12316666810873726,10.598743988879756,0.12994172604583715,-8.777613531716801
ets,7902,0.03978850939683607,11.37396723756122,0.052613110092266165,-1.1566182636970455
ets,7023,0.009607479533495647,3.741837529791104,0.009794508264982557,-14.417705881701842
ets,7032,0.05519270862335768,2.917566830070183,0.05643264290764631,-10.670109393272647
ets,7052,0.17988270392380193,14.077800279901728,0.18185813361771477,-44.49853666558649
ets,7026,0.7436952620349183,18.176755462969616,0.7483607323187701,-82.10899075138761
ets,7046,0.3414435842045214,15.104498984415748,0.36849770925812453,-5.814438645472702
ets,7050,0.09849030371259891,20.737573898502195,0.10350225146821106,-10.064315415526641
ets,7048,0.6118339817160589,16.439387219300176,0.6341674461913379,-12.65195357819464
ets,7054,0.20556169715610015,4.888995439833687,0.21979757152288543,-7.181521000041821
ets,7024,0.17203430288466012,21.532735548554,0.19504752853058574,-3.168292048805812
gb_temporal,7001,0.01674413354221334,5.722267885307479,0.01920441275193126,-9.57097204560154
gb_temporal,7003,1.1323654449326939,26.68095519943869,1.1343591219506104,-162.6233795525881
gb_temporal,7004,0.00895473094403799,4.366876559125366,0.009909652966471656,-3.75167202818875
gb_temporal,7005,0.3199209028358658,18.10286154148798,0.32986651165253067,-16.907823567060724
gb_temporal,7901,0.00744928741087286,11.004752960149407,0.007462608187362143,-249.60734431137976
gb_temporal,7006,0.05778446397149326,11.792982391719816,0.05805103151206426,-247.60082243059057
gb_temporal,7007,0.001534255395878724,4.188421664983535,0.0017413639917303095,0.14715196983580303
gb_temporal,7008,0.010879832674573061,2.9511063891334612,0.011226219292547204,-7.46456713760619
gb_temporal,7009,0.004310873242572154,4.087215360940279,0.005439973186031958,-1.7743726498200068
gb_temporal,7010,0.030345324765292354,2.767090714596243,0.03241003655828973,-14.703811008948618
gb_temporal,7011,2.329638935624471,22.09802864772596,2.3452776506373234,-67.92621480754757
gb_temporal,7012,0.01381231588851938,7.7771965543080395,0.014657219167916836,-13.429154206172745
gb_temporal,7013,0.052802464038873086,8.277704249874844,0.07162662918386152,-1.2190198997588206
gb_temporal,7014,0.5163059072161659,22.002189947860217,0.5201558243832439,-51.87858273090799
gb_temporal,7016,0.004763559344835115,2.1673963621384242,0.005470552289611003,-3.344233567424406
gb_temporal,7017,0.004414706502580884,10.30692797810397,0.004742448700100514,-100.20868852888395
gb_temporal,7018,0.011555223410113419,10.879958038248601,0.01815856462672019,-0.6486673465138693
gb_temporal,7019,0.0010095735358925662,4.810055992245432,0.001269170326050949,-0.03550998919674697
gb_temporal,7020,0.050013637050043636,16.4134131878032,0.0514555315958267,-0.00256839390281427
gb_temporal,7021,0.003271068543962781,14.141556401184193,0.0032946684911464587,-0.13597167673232047
gb_temporal,7022,0.200057012466735,14.41659200198706,0.21510194471780186,-5.355028837292409
gb_temporal,7025,0.0012013782494249882,3.4816673178769677,0.0012858319404322166,-6.440137005660544
gb_temporal,7027,0.22305185683567438,11.573936946884144,0.24987577008013195,-1.0296647605259297
gb_temporal,7028,0.002694293073909698,4.42458815202604,0.0029763111271128356,-4.694703666312924
gb_temporal,7029,0.006697880804461913,2.4008224973499517,0.007039084287949841,-10.73522022409895
gb_temporal,7030,0.012194132677826644,10.175045846739863,0.012480932183270715,-21.61230666888106
gb_temporal,7031,0.37512435443720893,11.805743582962315,0.3838638973716198,-18.28516164017046
gb_temporal,7033,0.5156503754532492,13.147484844763316,0.5382718188628037,-12.274294493218589
